movie_id,title,year,genre,runtime_minutes,director,cast,summary,source,imdb_rating
1,Dombivali Fast,2005,"Crime,Drama",112,Nishikanth Kamat,"Sandeep Kulkarni ,Shipla Tulaskar , Sandesh Jadhav",Bank clerk turns vigilante in a corrupt world,IMDb/JustWatch,7.9
2,Ek Hota Vidhushak,1992,"Drama,Comedy",168,Jabbar Patel,"Laxmikant Berde, Varsha Usgaonkar, Nilu Phule, Mohan Agashe",Life of a Tamasha folk theatre clown whose rise to fame tests his values.,IMDb / Wikipedia,8.1
3,A Breath,2004,Drama,107,Sandeep Sawant,"Arun Nalawade, Ashwin Chitale, Sandeep Kulkarni, Amruta Subhash",A grandfather tries to show his young grandson the beauty and preciousness of life while confronting a terminal illness.,IMDb/Wikipedia,8.2
4,Vaastupurush,2002,Drama,154,Sumitra Bhave & Sunil Sukthankar,"Uttara Baokar, Sadashiv Amrapurkar, Atul Kulkarni, Siddharth Daftardar",A doctor returns to his ancestral village and recalls his past life and family history influenced by tradition.,IMDb / Wikipedia,8.3
5,Deool,2011,Drama,135,Umesh Vinayak Kulkarni,"Girish Kulkarni, Nana Patekar, Dilip Prabhavalkar, Sonali Kulkarni, Hrishikesh Joshi",A villagerâ€™s vision of God sparks unexpected social and political turmoil in his village as religious belief gets commercialized and exploited.,IMDb/Wikipedia,8.2
6,Shwaas,2004,Drama,105,Sandeep Sawant,"Ashwin Chitale, Arun Nalawade",A grandfather tries to show his grandson the beauty of the world before the boy undergoes an operation that will leave him blind.,IMDb,8.2
7,Court,2014,Drama,116,Chaitanya Tamhane,"Vira Sathidar, Vivek Gomber","A social activist is accused of inciting a sewage worker's suicide by one of his folk songs, leading to a trial in a lower court.",IMDb,7.6
8,Sairat,2016,"Drama, Romance",174,Nagraj Manjule,"Rinku Rajguru, Akash Thosar","Two college students from different castes fall in love, sparking conflict between their families and society.",IMDb,8.2
9,Natsamrat,2016,Drama,166,Mahesh Manjrekar,"Nana Patekar, Medha Manjrekar","After retiring from the stage, a veteran Shakespearean actor and his wife face the harsh realities of old age and ungrateful children.",IMDb,8.8
10,Killa,2014,"Drama, Family",107,Avinash Arun,"Archit Deodhar, Parth Bhalerao",An 11-year-old boy struggles to cope with the death of his father and his mother's frequent job transfers in a new coastal town.,IMDb,8
11,Harishchandrachi Factory,2009,"Adventure, Biography",96,Paresh Mokashi,"Nandu Madhav, Vibhawari Deshpande","The story of Dadasaheb Phalke, who struggled to make India's first feature film, Raja Harishchandra, in 1913.",IMDb,8.4
12,Fandry,2013,Drama,101,Nagraj Manjule,"Somnath Awghade, Suraj Pawar","A young boy from a lower caste falls in love with a girl from an upper caste, highlighting the deep-rooted prejudice in rural India.",IMDb,8.2
13,Elizabeth Ekadashi,2014,Drama,90,Paresh Mokashi,"Shrirang Mahajan, Sayali Bhandarkavthekar","Two siblings in Pandharpur try to save their beloved bicycle, named 'Elizabeth,' from being sold by their mother to pay off debts.",IMDb,8.2
14,Katyar Kaljat Ghusali,2015,"Drama, Musical",160,Subodh Bhave,"Sachin Pilgaonkar, Shankar Mahadevan","Based on a play, it depicts the intense rivalry between two classical singers over the position of the royal singer in a princely state.",IMDb,8.5
15,Paani,2024,"Drama ,Biography",148,Adinath Kothare,"Adinath Kothare, Rucha Vaidya, Subodh Bhave","Based on a true story, a man from a drought-prone village in Nanded leads a movement to make his village water-independent to win back his love.",IMDb,7.9
16,Mee Vasantrao,2022,"Biography, Musical",175,Nipun Dharmadhikari,"Rahul Deshpande, Anita Date",A biographical film based on the life of the legendary classical singer Vasantrao Deshpande and his journey in music.,IMDb,8.8
17,Gharat Ganpati,2024,"Family, Drama",139,"Navjyot BandiwadekarBhushan Pradhan, Nikita Dutta, Ajinkya Deo",,"Three generations of the Gharat family gather at their ancestral Konkan home for the Ganeshotsav festival, leading to the resolution of old conflicts.",IMDb,7.5
18,Naal,2018,"Drama, Family",117,Sudhakar Reddy Yakkanti,"Shrinivas Pokale, Nagraj Manjule",A young boy living in a remote village begins to question his identity and the nature of his relationship with his mother.,IMDb,8.2
19,Kaksparsha,2012,Drama,135,Mahesh Manjrekar,"Sachin Khedekar, Priya Bapat","Set in pre-independence India, the story follows a man who protects his widowed sister-in-law while strictly adhering to family traditions.",IMDb,8.1
20,Pinjara,1972,"Musical, Drama",158,V. Shantaram,"Shriram Lagoo, Sandhya","A highly respected moralistic schoolteacher falls for a dancer, leading to his social and personal downfall.",IMDb,7.9
21,Shaala,2011,"Drama, Romance",105,Sujay Dahake,"Anshuman Joshi, Ketaki Mategaonkar","Set in the 1970s, four school friends navigate the complexities of growing up, politics, and first love in rural Maharashtra.",IMDb,8
22,Ashi Hi Banwa Banwi,1988,Comedy,155,Sachin Pilgaonkar,"Ashok Saraf, Sachin Pilgaonkar","To find a place to stay, two brothers and their friends are forced to dress as women and pretend to be the wives of the others.",IMDb,8.6
23,Jogwa,2009,Drama,133,Rajiv Patil,"Upendra Limaye, Mukta Barve","A hard-hitting story about the ""Jogtin"" tradition where individuals are forced into a life of servitude to a goddess.",IMDb,8
24,Balak Palak,2013,"Comedy, Drama",112,Ravi Jadhav,"Subodh Bhave, Sai Tamhankar","A group of teenagers embark on a journey of curiosity to understand the ""birds and the bees"" in a society where sex is taboo.",IMDb,7.7
25,Dashavatar,2025,"Suspense, Thriller",155,Subodh Khanolkar,"Dilip Prabhavalkar, Bharat Jadhav",A veteran folk performer's final play turns into a cultural battle to protect local heritage and environment in the Konkan region.,IMDb,8.1